normalized_price,Author,date_of_birth,Currency,hasAfter,circleOf,mannerOf,hasFollowers,sale_date,Sign,Technique,Material,Nazi,Framed,square_m,ExhibitedNum,ProvenanceNum,LiteratureNum,CataloguingLength,City,century,nationality,sex,style,repeat_sale,feature1,feature2,day_of_week,month,isUntitled,isNumbered,normalized_estimateto,log_normalized_price,log_normalized_estimateto
4643.01,Henry Moore,1898,GBP,1,0,0,0,2012-09-20 00:00:00,1,lithograph,paper,0,0,0.3454,0,0,0,0,london,20,English,M,organic abstraction,1,sculptor,�,Thursday,9,0,1,4323.55,8.44312,8.37183
295002,Sir Anthony van Dyck,1599,GBP,1,1,1,1,2009-07-07 00:00:00,0,oil,canvas,0,0,0.4703,0,2,1,1906,london,17,Netherlander,M,baroque,1,migrant,�,Tuesday,7,0,0,231350,12.5947,12.3517
75278.2,Pierre Bonnard,1867,EUR,1,0,0,0,2015-03-25 00:00:00,1,oil,paper,0,0,0.026,9,2,1,2062,paris,20,French,M,nabism,1,�,�,Wednesday,3,0,0,18936.7,11.2289,9.84886
527234,Takashi Murakami,1962,USD,0,0,0,0,2009-11-11 00:00:00,1,acrylic,panel,0,0,3.2523,0,1,0,0,new york,21,Japanese,M,neo-pop / post-pop,1,coeval,�,Wednesday,11,0,0,595835,13.1754,13.2977
896791,Piero Manzoni,1933,GBP,0,0,0,0,2005-09-02 00:00:00,1,etching,canvas,0,0,0.4801,0,3,1,5398,london,20,Italian,M,conceptualism,1,�,�,Wednesday,2,0,0,847162,13.7066,13.6496
8.41077e+06,Lucian Freud,1922,GBP,0,0,0,0,2016-11-02 00:00:00,0,oil,canvas,0,0,0.1126,7,2,5,18376,london,20,German,M,expressionism,1,�,�,Thursday,2,0,0,4.8253e+06,15.945,15.3894
2.0666e+06,Claude Monet,1840,USD,1,0,1,1,2000-08-11 00:00:00,1,oil,canvas,0,0,0.552,2,5,4,1840,new york,19,French,M,impressionism,1,�,�,Wednesday,11,0,0,2.67238e+06,14.5414,14.7985
229732,Andy Warhol,1928,GBP,0,0,0,0,2009-10-17 00:00:00,1,ink,paper,0,0,0.5187,2,2,0,2344,london,20,American,M,pop-art,1,homosexual,�,Saturday,10,0,1,185080,12.3447,12.1285
38674,Gustav Klimt,1862,USD,0,0,0,0,2007-07-11 00:00:00,0,pencil,paper,0,0,0.1365,3,3,2,431,new york,19,Austrian,M,modern,1,�,�,Wednesday,11,0,0,22194.4,10.5629,10.0076
8.75551e+06,Pablo Picasso,1881,USD,1,0,0,0,2018-05-15 00:00:00,1,oil,canvas,0,0,0.82,0,5,4,3989,new york,20,Spaniard,M,cubism,1,migrant,�,Tuesday,5,0,0,7.12686e+06,15.9852,15.7794
1.5455e+06,Pierre Bonnard,1867,GBP,1,0,0,0,2012-06-20 00:00:00,1,oil,panel,0,0,0.156,9,2,5,2948,london,20,French,M,nabism,1,�,�,Wednesday,6,0,0,864711,14.2509,13.6702
